"customer","sale_date","seller"
Kaitlyn Harris,1992-10-25,Innes del Castillo
Karen Huang,1992-10-25,Dirk Stringer
Kate Becker,1992-09-26,Abraham Bennet
Kate Raje,1992-11-15,Ann Dull
Katherine Cook,1992-10-16,Livia Karsen
Kathleen Rubio,1992-10-19,Ann Dull
Katrina Sharma,1992-10-03,Heather McBadden
Keith Lal,1992-11-11,Stearns MacFeather
Keith Pal,1992-12-07,Morningstar Greene
Krista Gill,1992-11-12,Marjorie Green
Kristen Li,1992-10-12,Michael O'Leary
Kristopher Martinez,1992-10-29,Burt Gringlesby
Kyle Young,1992-10-13,Abraham Bennet
Larry Gomez,1992-10-02,Michel DeFrance
Latasha Suarez,1992-11-01,Johnson White
Lauren Cooper,1992-10-09,Morningstar Greene
Levi Gonzalez,1992-09-29,Marjorie Green
Levi Prasad,1992-11-13,Michel DeFrance
Lisa Chen,1992-10-23,Marjorie Green
Louis Hu,1992-11-15,Cheryl Carson
Luke Simmons,1992-11-05,Dean Straight
Mackenzie Adams,1992-11-12,Innes del Castillo
Mackenzie Ramirez,1992-10-13,Abraham Bennet
Madison Foster,1992-12-27,Stearns MacFeather
Marc Romero,1992-10-10,Sylvia Panteley
María Flores,1992-12-15,Charlene Locksley
Mario Rai,1992-12-08,Abraham Bennet
Marissa price,1992-10-27,Anne Ringer
Martin Patel,1992-12-21,Livia Karsen
Marvin Gomez,1992-10-17,Dean Straight
Mason Wright,1992-11-15,Johnson White
Mason Cook,1992-12-12,Albert Ringer
Mayra Sanchez,1992-11-08,Ann Dull
Melanie Russell,1992-12-08,Michel DeFrance
Melanie Alexander,1992-10-04,Reginald Blotchet-Halls
Melinda Jimenez,1992-12-20,Dean Straight
Michael John Troyer,1992-11-12,Burt Gringlesby
Micheal Vazquez,1992-10-03,Anne Ringer
Michele Raji,1992-09-28,Stearns MacFeather
Miguel Gonzalez,1992-12-16,Ann Dull
Monique Torres,1992-12-15,Johnson White
Morgan Hill,1992-11-04,Albert Ringer
Mya Coleman,1992-10-30,Michael O'Leary
Nancy Buchanan,1992-12-24,Stearns MacFeather
Natalie Reed,1992-10-17,Heather McBadden
Natalie Williams,1992-10-01,Albert Ringer
Nathaniel Howard,1992-10-03,Dirk Stringer
Nicolas Raje,1992-10-30,Dean Straight
Noah Bryant,1992-12-22,Anne Ringer
Noah Jones,1992-11-28,Dean Straight
Olivia Bennett,1992-10-28,Michael O'Leary
Olivia Howard,1992-10-19,Stearns MacFeather
Olivia Cox,1992-12-08,Innes del Castillo
Pablo Rovira Diez,1992-10-10,Livia Karsen
Patrick Sanders,1992-10-02,Abraham Bennet
Peter Black,1992-10-14,Cheryl Carson
Philip Gutierrez,1992-09-27,Marjorie Green
Preston Perez,1992-11-22,Heather McBadden
Randall Ruiz,1992-11-06,Charlene Locksley
Randy Zhang,1992-12-11,Marjorie Green
Raymond Madan,1992-10-26,Heather McBadden
Richard Martinez,1992-10-16,Abraham Bennet
Richard Cooper,1992-11-30,Sheryl Hunter
Richard Brown,1992-12-12,Johnson White
Robin Ortega,1992-10-15,Morningstar Greene
Rodney Sanz,1992-09-24,Anne Ringer
Ryan Davis,1992-10-22,Reginald Blotchet-Halls
Ryan Alexander,1992-12-18,Johnson White
Samuel Sharma,1992-10-22,Michael O'Leary
Samuel Young,1992-09-29,Meander Smith
Samuel Johnston,1992-10-15,Burt Gringlesby
Samuel Robinson,1992-11-01,Michel DeFrance
Sean Green,1992-12-29,Michel DeFrance
Seth Bennett,1992-11-16,Innes del Castillo
Shaun Andersen,1992-11-14,Innes del Castillo
Sheena Chande,1992-11-15,Livia Karsen
Shelley Dyck,1992-11-02,Abraham Bennet
Spencer Bennett,1992-12-01,Morningstar Greene
Stephanie Alexander,1992-11-27,Meander Smith
Steven Watson,1992-12-01,Cheryl Carson
Steven Peterson,1992-11-24,Stearns MacFeather
Tabitha Gonzalez,1992-11-30,Reginald Blotchet-Halls
Tabitha Rodriguez,1992-09-22,Cheryl Carson
Tara Xie,1992-11-24,Johnson White
Tasha Yuan,1992-11-07,Dean Straight
Thomas Li,1992-09-25,Abraham Bennet
Thomas Martinez,1992-11-28,Innes del Castillo
Timothy Sanders,1992-10-26,Cheryl Carson
Tina Lopez,1992-11-27,Dirk Stringer
Trish Pederson,1992-12-21,Heather McBadden
Trisha Sun,1992-12-14,Charlene Locksley
Tristan Butler,1992-10-27,Meander Smith
Troy Chandra,1992-11-06,Heather McBadden
Tyrone Ruiz,1992-10-05,Marjorie Green
Victoria Powell,1992-10-23,Morningstar Greene
Victoria Williams,1992-11-14,Dean Straight
Virginia Rodriguez,1992-12-12,Johnson White
Walter Jimenez,1992-11-19,Albert Ringer
Warren Zhao,1992-10-20,Heather McBadden
Whitney Sanchez,1992-09-25,Sheryl Hunter
Willie Gao,1992-11-26,Michael O'Leary
Xavier Smith,1992-11-09,Innes del Castillo
